Year,Month,ATMs,ATM Cards,Prepaid Cards,Charge Cards,Credit Cards,Debit Cards,POS Machines,Total Cards
2011,September,2105,0,22934,1358,120063,7144094,16209,7288449
2011,August,2096,0,22382,1404,118990,7131828,16177,7274604
2011,July,2090,0,22038,1390,118100,7073241,15909,7214769
2011,June,2071,0,21367,1418,119287,7002176,16714,7144248
2011,May,2059,0,20800,1431,116724,6924961,16545,7063916
2011,April,2050,0,20117,1446,115600,6871502,17060,7008665
2011,March,2039,0,19648,1457,114582,6721936,17259,6857623
2011,February,2031,0,19036,1474,112433,6247178,17998,6380121
2011,January,1994,0,18251,1475,113550,6241071,18313,6374347
2010,December,1979,0,18750,725,113192,6191792,18179,6324459
2010,November,1940,0,19054,714,113789,5746510,18243,5880067
2010,October,1925,0,19641,1129,114058,4617459,19279,4752287
2010,September,1913,0,19795,749,114204,4539792,20309,4674540
2010,August,1883,0,20115,773,112675,4353272,21805,4486835
2010,July,1861,0,19701,802,110788,4256198,21934,4387489
2010,June,1831,0,16081,791,111383,4156187,19608,4284442
2010,May,1828,0,16562,817,110147,4067088,19399,4194614
2010,April,1794,0,16803,825,112203,3955160,19753,4084991
2010,March,1777,0,17250,844,108345,3894580,18582,4021019
2010,February,1755,0,17230,2474,107927,3768154,17587,3895785
2010,January,1730,0,16870,1579,107682,3659965,17092,3786096
2009,December,1717,0,16749,1682,108456,3700646,15871,3827533
2009,November,1697,0,16742,1566,108683,3570659,15661,3697650
2009,October,1646,0,16733,1645,107216,3388228,16619,3513822
2009,September,1614,0,17255,1695,108899,4414666,4382,4542515
2009,August,1601,0,17249,1624,108911,3904066,4824,4031850
2009,July,1581,0,280,1679,108049,3280485,5063,3390493
